iter	Passed	Remaining
216	144	1190
217	145	1189
218	146	1187
219	146	1186
220	147	1190
221	148	1190
222	149	1190
223	150	1190
224	150	1189
225	151	1190
226	152	1191
227	153	1190
228	153	1190
229	154	1189
230	155	1188
231	155	1187
232	156	1186
233	157	1185
234	157	1184
235	158	1183
236	158	1182
237	159	1184
238	160	1184
239	161	1183
240	162	1182
241	162	1182
242	163	1182
243	164	1181
244	164	1181
245	165	1180
246	166	1180
247	167	1181
248	167	1180
249	168	1179
250	169	1179
251	169	1178
252	170	1177
253	171	1176
254	171	1176
255	172	1175
256	173	1175
257	173	1174
258	174	1173
259	175	1172
260	175	1171
261	176	1170
262	176	1168
263	177	1169
264	178	1168
265	179	1170
266	180	1169
267	180	1169
268	181	1170
269	182	1170
270	183	1170
271	184	1169
272	184	1169
273	185	1168
274	186	1167
275	186	1167
276	187	1166
277	188	1165
278	188	1164
279	189	1163
280	190	1162
281	190	1161
282	191	1160
283	192	1164
284	193	1164
285	194	1163
286	194	1162
287	195	1162
288	196	1161
289	196	1160
290	197	1159
291	198	1158
292	198	1157
293	199	1155
294	199	1154
295	200	1153
296	201	1152
297	201	1153
298	202	1152
299	203	1150
300	203	1150
301	204	1149
302	205	1149
303	206	1150
304	206	1149
305	207	1148
306	208	1147
307	208	1146
308	209	1145
309	209	1144
310	210	1143
311	211	1143
312	211	1142
313	212	1141
314	213	1140
315	213	1139
316	214	1138
317	215	1138
318	215	1137
319	216	1136
320	217	1135
321	217	1135
322	218	1136
323	219	1136
324	220	1135
325	220	1134
326	221	1133
327	222	1132
328	222	1131
329	223	1130
330	224	1129
331	224	1129
332	225	1128
333	226	1127
334	226	1126
335	227	1125
336	227	1124
337	228	1123
338	229	1122
339	230	1123
340	230	1122
341	231	1121
342	232	1122
343	233	1122
344	233	1121
345	234	1121
346	235	1122
347	236	1121
348	236	1120
349	237	1119
350	238	1118
351	238	1117
352	239	1116
353	239	1115
354	240	1114
355	241	1114
356	241	1113
357	242	1112
358	243	1111
359	243	1110
360	244	1109
361	245	1108
362	245	1109
363	246	1110
364	247	1109
365	248	1109
366	249	1108
367	249	1107
368	250	1107
369	251	1106
370	251	1105
371	252	1105
372	253	1104
373	253	1103
374	254	1102
375	255	1101
376	255	1101
377	256	1100
378	256	1099
379	257	1098
380	258	1098
381	259	1098
382	260	1098
383	260	1097
384	261	1096
385	262	1095
386	262	1095
387	263	1094
388	264	1094
389	264	1093
390	265	1092
391	266	1091
392	266	1090
393	267	1089
394	267	1088
395	268	1087
396	269	1086
397	269	1086
398	270	1085
399	271	1085
400	272	1085
401	273	1085
402	273	1085
403	274	1084
404	275	1083
405	275	1082
406	276	1082
407	277	1081
408	278	1081
409	278	1081
410	279	1080
411	280	1079
412	280	1078
413	281	1077
414	281	1077
415	282	1076
416	283	1075
417	283	1074
418	284	1073
419	285	1073
420	286	1074
421	287	1074
422	288	1073
423	288	1073
424	289	1073
425	290	1072
426	291	1072
427	291	1072
428	292	1072
429	293	1072
430	294	1071
431	295	1071
432	296	1071
433	296	1071
434	297	1070
435	299	1074
436	300	1074
437	301	1074
438	301	1073
439	302	1073
440	303	1073
441	304	1072
442	305	1073
443	306	1072
444	306	1072
445	307	1072
446	308	1072
447	309	1072
448	310	1071
449	310	1070
450	311	1070
451	312	1070
452	313	1070
453	315	1072
454	316	1073
455	316	1072
456	317	1071
457	318	1070
458	318	1069
459	319	1068
460	319	1068
461	320	1067
462	321	1066
463	321	1065
464	322	1064
465	323	1064
466	324	1063
467	325	1064
468	325	1063
469	326	1064
470	327	1063
471	328	1063
472	329	1063
473	329	1062
474	330	1061
475	331	1061
476	332	1060
477	332	1059
478	333	1058
479	334	1058
480	334	1057
481	335	1056
482	336	1055
483	336	1055
484	337	1054
485	338	1055
486	339	1054
487	340	1054
488	341	1053
489	341	1053
490	342	1052
491	343	1052
492	344	1052
493	345	1052
494	346	1053
495	347	1053
496	348	1053
497	349	1053
498	350	1053
499	351	1053
500	352	1053
501	353	1053
502	353	1052
503	354	1052
504	355	1051
505	355	1050
506	356	1050
507	357	1049
508	357	1048
509	358	1047
510	359	1047
511	392	1141
512	393	1141
513	394	1140
514	395	1140
515	396	1140
516	397	1140
517	398	1139
518	399	1138
519	399	1138
520	400	1137
521	401	1137
522	402	1136
523	403	1136
524	404	1136
525	405	1135
526	405	1134
527	406	1132
528	407	1131
529	407	1130
530	408	1130
531	409	1129
532	410	1129
533	410	1128
534	411	1127
535	412	1126
536	413	1125
537	413	1124
538	414	1123
539	414	1121
540	415	1121
541	416	1120
542	417	1119
543	417	1117
544	418	1116
545	419	1116
546	419	1115
547	420	1114
548	421	1114
549	422	1114
550	423	1114
551	424	1113
552	425	1112
553	425	1111
554	426	1110
555	427	1109
556	427	1108
557	429	1110
558	430	1109
559	431	1108
560	431	1107
561	432	1106
562	433	1106
563	434	1105
564	434	1104
565	435	1103
566	436	1102
567	437	1101
568	437	1100
569	438	1099
570	438	1098
571	439	1097
572	440	1096
573	440	1095
574	441	1093
575	441	1092
576	442	1091
577	443	1090
578	443	1089
579	444	1088
580	445	1087
581	445	1085
582	446	1084
583	446	1083
584	448	1085
585	449	1085
586	450	1085
587	451	1084
588	452	1083
589	452	1082
590	453	1081
591	454	1080
592	454	1079
593	455	1078
594	456	1077
595	456	1076
596	457	1075
597	458	1074
598	458	1072
599	459	1071
600	460	1070
601	461	1070
602	462	1070
603	462	1069
604	463	1068
605	464	1067
606	464	1066
607	465	1065
608	466	1064
609	466	1063
610	467	1062
611	468	1061
612	468	1060
613	469	1059
614	470	1058
615	470	1057
616	471	1056
617	472	1055
618	472	1055
619	474	1056
620	475	1055
621	476	1054
622	476	1054
623	477	1053
624	478	1052
625	479	1051
626	479	1050
627	480	1050
628	481	1049
629	482	1048
630	482	1047
631	483	1046
632	483	1045
633	484	1044
634	485	1043
635	486	1042
636	486	1041
637	487	1041
638	488	1039
639	488	1038
640	489	1038
641	490	1037
642	491	1036
643	492	1036
644	493	1036
645	494	1035
646	495	1036
647	496	1035
648	497	1034
649	497	1033
650	498	1032
651	498	1031
652	499	1030
653	500	1030
654	501	1029
655	502	1028
656	502	1027
657	503	1026
658	503	1025
659	504	1024
660	505	1023
661	505	1022
662	506	1021
663	507	1020
664	507	1019
665	508	1018
666	509	1017
667	510	1017
668	510	1016
669	511	1015
670	512	1014
671	513	1014
672	514	1014
673	515	1013
674	515	1012
675	516	1011
676	517	1010
677	517	1009
678	518	1008
679	519	1007
680	519	1007
681	520	1006
682	521	1005
683	522	1004
684	522	1003
685	523	1002
686	524	1001
687	524	1001
688	525	1000
689	526	999
690	527	999
691	528	998
692	528	997
693	529	996
694	530	995
695	530	994
696	531	993
697	532	992
698	532	991
699	533	990
700	534	989
701	534	988
702	535	987
703	535	986
704	536	985
705	537	984
706	537	983
707	538	982
708	538	981
709	539	981
710	540	980
711	541	979
712	541	978
713	542	977
714	543	976
715	544	975
716	544	974
717	545	973
718	545	972
719	546	971
720	547	970
721	547	969
722	548	968
723	548	967
724	549	966
725	550	965
726	550	964
727	551	963
728	552	963
729	553	962
730	553	961
731	554	960
732	555	959
733	555	958
734	556	957
735	557	956
736	557	955
737	558	954
738	559	953
739	559	952
740	560	951
741	560	951
742	561	950
743	562	949
744	562	948
745	563	947
746	563	945
747	564	945
748	565	944
749	566	943
750	566	942
751	567	941
752	567	940
753	568	939
754	569	938
755	569	937
756	570	936
757	571	935
758	571	934
759	572	933
760	573	932
761	573	931
762	574	930
763	574	929
764	575	928
765	575	927
766	576	926
767	577	925
768	577	924
769	578	924
770	579	923
771	580	922
772	580	921
773	581	920
774	581	919
775	582	918
776	583	917
777	583	916
778	584	916
779	585	915
780	585	914
781	586	913
782	586	912
783	587	911
784	588	910
785	588	909
786	589	908
787	590	907
788	590	906
789	591	905
790	592	904
791	592	904
792	593	903
793	594	902
794	594	901
795	595	901
796	596	900
797	597	900
798	598	899
799	599	898
800	599	897
801	600	896
802	600	895
803	601	894
804	602	893
805	602	892
806	603	891
807	604	891
808	604	890
809	605	889
810	606	888
811	606	887
812	607	887
813	608	886
814	609	885
815	609	884
816	610	884
817	611	883
818	611	882
819	612	881
820	613	880
821	614	879
822	614	879
823	615	878
824	615	877
825	616	876
826	617	875
827	618	874
828	618	874
829	619	873
830	620	872
831	620	871
832	621	870
833	622	869
834	623	869
835	624	869
836	625	868
837	641	890
838	643	889
839	644	889
840	644	888
841	645	887
842	645	886
843	646	885
844	647	884
845	647	883
846	648	882
847	648	881
848	649	880
849	650	879
850	650	878
851	651	877
852	652	876
853	652	875
854	653	875
855	654	874
856	654	873
857	655	873
858	656	872
859	657	871
860	658	870
861	658	869
862	659	868
863	660	867
864	660	866
865	661	865
866	661	864
867	662	864
868	663	863
869	663	862
870	664	861
871	665	860
872	665	859
873	666	858
874	666	857
875	667	856
876	668	855
877	669	854
878	669	854
879	670	853
880	671	852
881	671	851
882	672	850
883	673	849
884	673	848
885	674	847
886	674	846
887	675	846
888	676	845
889	676	844
890	677	843
891	678	842
892	678	841
893	679	840
894	680	839
895	680	838
896	681	837
897	682	837
898	683	836
899	683	835
900	684	834
901	685	834
902	685	833
903	686	832
904	687	831
905	687	830
906	688	829
907	689	828
908	689	827
909	690	826
910	691	826
911	691	825
912	692	824
913	692	823
914	693	822
915	694	821
916	694	820
917	695	819
918	696	819
919	697	818
920	697	817
921	698	816
922	699	815
923	699	814
924	700	813
925	701	813
926	701	812
927	702	811
928	702	810
929	703	809
930	704	808
931	704	807
932	705	806
933	706	805
934	706	804
935	707	804
936	707	803
937	708	802
938	709	801
939	710	800
940	710	799
941	711	799
942	712	798
943	712	797
944	713	796
945	713	795
946	714	794
947	715	793
948	715	792
949	716	791
950	717	791
951	717	790
952	718	789
953	719	788
954	719	787
955	720	786
956	720	785
957	721	784
958	722	784
959	723	783
960	723	782
961	724	781
962	725	780
963	725	779
964	726	779
965	726	778
966	727	777
967	728	776
968	728	775
969	729	775
970	730	774
971	731	773
972	732	772
973	732	771
974	733	771
975	734	770
976	735	769
977	735	768
978	736	768
979	737	767
980	737	766
981	738	765
982	738	764
983	739	763
984	740	762
985	740	761
986	741	761
987	742	760
988	742	759
989	743	758
990	744	757
991	744	756
992	745	756
993	746	755
994	746	754
995	747	753
996	748	752
997	749	752
998	750	751
999	750	750
1000	751	750
1001	752	749
1002	753	748
1003	753	747
1004	754	747
1005	755	746
1006	756	745
1007	756	744
1008	757	743
1009	757	742
1010	758	742
1011	759	741
1012	759	740
1013	760	739
1014	762	739
1015	764	739
1016	764	739
1017	765	738
1018	766	737
1019	767	736
1020	767	736
1021	768	735
1022	768	734
1023	769	733
1024	770	732
1025	770	731
1026	771	731
1027	772	730
1028	772	729
1029	773	728
1030	774	728
1031	775	727
1032	776	726
1033	776	725
1034	777	724
1035	777	723
1036	778	723
1037	779	722
1038	779	721
1039	780	720
1040	780	719
1041	781	718
1042	782	717
1043	782	716
1044	783	715
1045	783	714
1046	784	714
1047	785	713
1048	785	712
1049	786	711
1050	787	710
1051	787	710
1052	788	709
1053	789	708
1054	789	707
1055	790	706
1056	791	705
1057	791	705
1058	792	704
1059	793	703
1060	793	702
1061	794	701
1062	794	700
1063	795	699
1064	796	699
1065	796	698
1066	797	697
1067	798	696
1068	798	695
1069	799	694
1070	800	694
1071	800	693
1072	801	692
1073	802	691
1074	803	691
1075	803	690
1076	804	689
1077	805	688
1078	805	687
1079	806	686
1080	807	686
1081	807	685
1082	808	684
1083	809	683
1084	809	682
1085	810	682
1086	811	681
1087	811	680
1088	812	679
1089	813	679
1090	814	678
1091	814	677
1092	815	676
1093	816	675
1094	816	675
1095	817	674
1096	818	673
1097	818	672
1098	819	671
1099	820	671
1100	820	670
1101	821	669
1102	822	668
1103	822	667
1104	823	666
1105	823	666
1106	824	665
1107	825	664
1108	825	663
1109	826	662
1110	827	662
1111	828	661
1112	828	660
1113	829	659
1114	829	658
1115	830	657
1116	831	657
1117	831	656
1118	832	655
1119	833	654
1120	833	653
1121	834	652
1122	835	652
1123	835	651
1124	836	650
1125	836	649
1126	837	648
1127	838	647
1128	838	647
1129	839	646
1130	840	645
1131	841	644
1132	841	644
1133	842	643
1134	843	642
1135	843	641
1136	844	640
1137	845	640
1138	845	639
1139	846	638
1140	847	637
1141	847	636
1142	848	636
1143	848	635
1144	849	634
1145	850	633
1146	850	632
1147	851	631
1148	852	631
1149	852	630
1150	853	629
1151	854	628
1152	855	628
1153	855	627
1154	856	626
1155	856	625
1156	857	624
1157	858	623
1158	858	623
1159	859	622
1160	859	621
1161	860	620
1162	861	619
1163	861	618
1164	862	618
1165	863	617
1166	863	616
1167	864	615
1168	864	614
1169	865	613
1170	866	613
1171	867	612
1172	867	611
1173	868	611
1174	869	610
1175	869	609
1176	870	608
1177	871	607
1178	871	607
1179	872	606
1180	872	605
1181	873	604
1182	874	603
1183	874	602
1184	875	602
1185	876	601
1186	877	600
1187	877	600
1188	878	599
1189	879	598
1190	880	598
1191	881	597
1192	881	596
1193	882	595
1194	883	594
1195	883	594
1196	884	593
1197	885	592
1198	885	591
1199	886	590
1200	886	590
1201	887	589
1202	888	588
1203	888	587
1204	889	586
1205	890	586
1206	890	585
1207	891	584
1208	893	584
1209	893	583
1210	894	582
1211	895	582
1212	895	581
1213	896	580
1214	897	579
1215	898	578
1216	898	578
1217	899	577
1218	899	576
1219	900	575
1220	901	574
1221	901	574
1222	902	573
1223	903	572
1224	903	571
1225	904	571
1226	905	570
1227	906	569
1228	907	569
1229	907	568
1230	908	567
1231	914	570
1232	915	569
1233	916	568
1234	917	568
1235	918	568
1236	920	567
1237	920	566
1238	921	565
1239	921	565
1240	922	564
1241	923	563
1242	923	562
1243	924	561
1244	925	561
1245	925	560
1246	926	559
1247	927	558
1248	927	557
1249	928	557
1250	929	556
1251	930	555
1252	931	555
1253	932	554
1254	932	553
1255	933	553
1256	934	552
1257	935	551
1258	936	551
1259	937	550
1260	938	549
1261	938	548
1262	939	548
1263	940	547
1264	941	546
1265	941	545
1266	942	545
1267	943	544
1268	943	543
1269	944	543
1270	945	542
1271	946	541
1272	946	540
1273	947	539
1274	947	539
1275	948	538
1276	949	537
1277	949	536
1278	950	535
1279	951	535
1280	951	534
1281	952	533
1282	952	532
1283	953	531
1284	954	530
1285	954	530
1286	955	529
1287	955	528
1288	956	527
1289	957	526
1290	958	526
1291	958	525
1292	959	524
1293	960	523
1294	960	523
1295	961	522
1296	962	521
1297	962	520
1298	963	519
1299	963	519
1300	964	518
1301	965	517
1302	965	516
1303	966	515
1304	966	514
1305	967	514
1306	968	513
1307	968	512
1308	969	511
1309	970	511
1310	971	510
1311	971	509
1312	972	508
1313	973	507
1314	973	507
1315	974	506
1316	974	505
1317	975	504
1318	976	504
1319	976	503
1320	977	502
1321	978	501
1322	978	500
1323	979	499
1324	979	499
1325	980	498
1326	981	497
1327	981	496
1328	982	495
1329	982	495
1330	983	494
1331	984	493
1332	985	492
1333	985	492
1334	986	491
1335	986	490
1336	987	489
1337	988	488
1338	988	488
1339	989	487
1340	990	486
1341	990	485
1342	991	484
1343	991	484
1344	992	483
1345	993	482
1346	993	481
1347	994	481
1348	995	480
1349	995	479
1350	996	478
1351	997	477
1352	997	477
1353	998	476
1354	999	475
1355	999	474
1356	1000	474
1357	1001	473
1358	1001	472
1359	1002	471
1360	1002	470
1361	1003	470
1362	1004	469
1363	1004	468
1364	1005	467
1365	1006	466
1366	1006	466
1367	1007	465
1368	1007	464
1369	1008	463
1370	1009	463
1371	1010	462
1372	1010	461
1373	1011	460
1374	1012	460
1375	1013	459
1376	1013	458
1377	1014	457
1378	1014	457
1379	1015	456
1380	1016	455
1381	1016	454
1382	1017	453
1383	1018	453
1384	1018	452
1385	1019	451
1386	1019	450
1387	1020	449
1388	1021	449
1389	1021	448
1390	1022	447
1391	1023	446
1392	1024	446
1393	1025	445
1394	1026	445
1395	1026	444
1396	1027	443
1397	1028	442
1398	1029	442
1399	1030	441
1400	1030	440
1401	1031	439
1402	1032	439
1403	1032	438
1404	1033	437
1405	1033	436
1406	1034	435
1407	1034	435
1408	1036	434
1409	1036	433
1410	1037	433
1411	1038	432
1412	1038	431
1413	1039	430
1414	1040	430
1415	1041	429
1416	1041	428
1417	1042	427
1418	1043	427
1419	1043	426
1420	1044	425
1421	1045	424
1422	1045	424
1423	1046	423
1424	1047	422
1425	1047	421
1426	1048	421
1427	1049	420
1428	1050	419
1429	1051	418
1430	1051	418
1431	1052	417
1432	1053	416
1433	1053	415
1434	1054	415
1435	1055	414
1436	1055	413
1437	1056	412
1438	1057	412
1439	1057	411
1440	1058	410
1441	1059	409
1442	1059	409
1443	1060	408
1444	1061	407
1445	1062	407
1446	1063	406
1447	1064	405
1448	1064	404
1449	1065	404
1450	1066	403
1451	1066	402
1452	1067	401
1453	1067	401
1454	1068	400
1455	1069	399
1456	1069	398
1457	1070	397
1458	1071	397
1459	1071	396
1460	1072	395
1461	1073	394
1462	1073	394
1463	1074	393
1464	1075	392
1465	1076	392
1466	1077	391
1467	1077	390
1468	1078	389
1469	1079	389
1470	1079	388
1471	1080	387
1472	1080	386
1473	1081	385
1474	1082	385
1475	1082	384
1476	1083	383
1477	1083	382
1478	1084	382
1479	1085	381
1480	1085	380
1481	1086	379
1482	1087	379
1483	1088	378
1484	1089	377
1485	1089	376
1486	1090	376
1487	1090	375
1488	1091	374
1489	1092	373
1490	1092	373
1491	1093	372
1492	1094	371
1493	1094	370
1494	1095	370
1495	1096	369
1496	1096	368
1497	1097	367
1498	1098	367
1499	1098	366
1500	1099	365
1501	1100	364
1502	1100	364
1503	1101	363
1504	1102	362
1505	1103	361
1506	1103	361
1507	1104	360
1508	1105	359
1509	1105	358
1510	1106	358
1511	1107	357
1512	1107	356
1513	1108	355
1514	1109	355
1515	1109	354
1516	1110	353
1517	1110	352
1518	1111	352
1519	1112	351
1520	1112	350
1521	1113	349
1522	1114	349
1523	1115	348
1524	1115	347
1525	1116	346
1526	1117	346
1527	1117	345
1528	1118	344
1529	1119	343
1530	1119	342
1531	1120	342
1532	1120	341
1533	1121	340
1534	1122	339
1535	1122	339
1536	1123	338
1537	1123	337
1538	1124	336
1539	1125	336
1540	1125	335
1541	1126	334
1542	1127	333
1543	1127	333
1544	1128	332
1545	1129	331
1546	1129	330
1547	1130	330
1548	1131	329
1549	1131	328
1550	1132	327
1551	1133	327
1552	1133	326
1553	1134	325
1554	1134	324
1555	1135	324
1556	1136	323
1557	1137	322
1558	1137	321
1559	1138	321
1560	1138	320
1561	1139	319
1562	1140	318
1563	1140	318
1564	1141	317
1565	1142	316
1566	1142	315
1567	1143	315
1568	1144	314
1569	1145	313
1570	1145	312
1571	1146	312
1572	1146	311
1573	1147	310
1574	1148	309
1575	1148	309
1576	1149	308
1577	1150	307
1578	1150	306
1579	1151	306
1580	1151	305
1581	1152	304
1582	1153	303
1583	1154	303
1584	1155	302
1585	1155	301
1586	1156	300
1587	1156	300
1588	1157	299
1589	1158	298
1590	1159	297
1591	1159	297
1592	1160	296
1593	1161	295
1594	1161	294
1595	1162	294
1596	1162	293
1597	1163	292
1598	1164	291
1599	1164	291
1600	1165	290
1601	1165	289
1602	1166	288
1603	1167	288
1604	1168	287
1605	1168	286
1606	1169	285
1607	1169	285
1608	1171	284
1609	1171	283
1610	1173	283
1611	1173	282
1612	1174	281
1613	1175	281
1614	1175	280
1615	1176	279
1616	1177	278
1617	1177	278
1618	1178	277
1619	1178	276
1620	1179	275
1621	1180	275
1622	1180	274
1623	1181	273
1624	1182	272
1625	1183	272
1626	1183	271
1627	1184	270
1628	1185	269
1629	1186	269
1630	1186	268
1631	1187	267
1632	1188	267
1633	1188	266
1634	1189	265
1635	1190	264
1636	1191	264
1637	1191	263
1638	1192	262
1639	1193	261
1640	1194	261
1641	1195	260
1642	1195	259
1643	1196	259
1644	1197	258
1645	1197	257
1646	1198	256
1647	1199	256
1648	1199	255
1649	1200	254
1650	1201	253
1651	1201	253
1652	1202	252
1653	1202	251
1654	1203	250
1655	1204	250
1656	1204	249
1657	1229	253
1658	1230	252
1659	1231	252
1660	1231	251
1661	1232	250
1662	1233	249
1663	1234	249
1664	1234	248
1665	1236	247
1666	1237	247
1667	1238	246
1668	1239	245
1669	1239	244
1670	1240	244
1671	1240	243
1672	1241	242
1673	1241	241
1674	1242	241
1675	1243	240
1676	1243	239
1677	1244	238
1678	1244	238
1679	1245	237
1680	1246	236
1681	1246	235
1682	1247	234
1683	1247	234
1684	1248	233
1685	1249	232
1686	1250	231
1687	1250	231
1688	1251	230
1689	1252	229
1690	1252	228
1691	1253	228
1692	1253	227
1693	1254	226
1694	1255	225
1695	1255	225
1696	1256	224
1697	1257	223
1698	1257	222
1699	1258	222
1700	1258	221
1701	1259	220
1702	1260	219
1703	1260	219
1704	1261	218
1705	1261	217
1706	1262	216
1707	1263	216
1708	1264	215
1709	1265	214
1710	1265	213
1711	1266	213
1712	1267	212
1713	1267	211
1714	1268	210
1715	1268	210
1716	1269	209
1717	1270	208
1718	1270	207
1719	1271	206
1720	1271	206
1721	1272	205
1722	1273	204
1723	1273	203
1724	1274	203
1725	1275	202
1726	1275	201
1727	1276	200
1728	1277	200
1729	1277	199
1730	1278	198
1731	1279	197
1732	1280	197
1733	1280	196
1734	1281	195
1735	1281	194
1736	1282	194
1737	1283	193
1738	1283	192
1739	1284	191
1740	1285	191
1741	1285	190
1742	1286	189
1743	1287	188
1744	1287	188
1745	1288	187
1746	1289	186
1747	1290	185
1748	1290	185
1749	1291	184
1750	1292	183
1751	1292	182
1752	1293	182
1753	1293	181
1754	1294	180
1755	1295	179
1756	1295	179
1757	1296	178
1758	1297	177
1759	1297	176
1760	1298	176
1761	1299	175
1762	1299	174
1763	1300	173
1764	1300	173
1765	1301	172
1766	1302	171
1767	1303	170
1768	1303	170
1769	1304	169
1770	1304	168
1771	1305	167
1772	1306	167
1773	1306	166
1774	1307	165
1775	1308	164
1776	1308	164
1777	1309	163
1778	1310	162
1779	1310	161
1780	1311	161
1781	1311	160
1782	1312	159
1783	1313	158
1784	1313	158
1785	1314	157
1786	1314	156
1787	1315	156
1788	1316	155
1789	1317	154
1790	1317	153
1791	1318	153
1792	1319	152
1793	1319	151
1794	1320	150
1795	1321	150
1796	1321	149
1797	1322	148
1798	1323	147
1799	1324	147
1800	1325	146
1801	1325	145
1802	1326	144
1803	1327	144
1804	1327	143
1805	1328	142
1806	1329	141
1807	1330	141
1808	1330	140
1809	1331	139
1810	1331	139
1811	1332	138
1812	1333	137
1813	1333	136
1814	1334	136
1815	1335	135
1816	1335	134
1817	1336	133
1818	1336	133
1819	1337	132
1820	1338	131
1821	1338	130
1822	1339	130
1823	1340	129
1824	1340	128
1825	1341	127
1826	1342	127
1827	1343	126
1828	1344	125
1829	1344	124
1830	1345	124
1831	1346	123
1832	1347	122
1833	1347	121
1834	1348	121
1835	1349	120
1836	1349	119
1837	1350	119
1838	1350	118
1839	1351	117
1840	1352	116
1841	1353	116
1842	1353	115
1843	1354	114
1844	1355	113
1845	1355	113
1846	1356	112
1847	1357	111
1848	1357	110
1849	1358	110
1850	1359	109
1851	1360	108
1852	1361	108
1853	1362	107
1854	1363	106
1855	1364	105
1856	1364	105
1857	1365	104
1858	1366	103
1859	1366	102
1860	1367	102
1861	1368	101
1862	1369	100
1863	1370	99
1864	1370	99
1865	1371	98
1866	1372	97
1867	1372	97
1868	1373	96
1869	1374	95
1870	1374	94
1871	1375	94
1872	1375	93
1873	1376	92
1874	1377	91
1875	1377	91
1876	1378	90
1877	1379	89
1878	1379	88
1879	1380	88
1880	1381	87
1881	1382	86
1882	1382	85
1883	1383	85
1884	1383	84
1885	1384	83
1886	1385	82
1887	1385	82
1888	1386	81
1889	1387	80
1890	1388	80
1891	1388	79
1892	1389	78
1893	1389	77
1894	1390	77
1895	1391	76
1896	1391	75
1897	1392	74
1898	1393	74
1899	1393	73
1900	1394	72
1901	1395	71
1902	1396	71
1903	1396	70
1904	1397	69
1905	1398	68
1906	1398	68
1907	1399	67
1908	1400	66
1909	1400	66
1910	1401	65
1911	1402	64
1912	1402	63
1913	1403	63
1914	1404	62
1915	1404	61
1916	1405	60
1917	1405	60
1918	1406	59
1919	1407	58
1920	1408	57
1921	1408	57
1922	1409	56
1923	1410	55
1924	1410	54
1925	1411	54
1926	1411	53
1927	1412	52
1928	1413	52
1929	1413	51
1930	1414	50
1931	1415	49
1932	1415	49
1933	1416	48
1934	1417	47
1935	1417	46
1936	1418	46
1937	1418	45
1938	1419	44
1939	1420	43
1940	1420	43
1941	1421	42
1942	1422	41
1943	1422	40
1944	1423	40
1945	1424	39
1946	1425	38
1947	1425	38
1948	1426	37
1949	1427	36
1950	1428	35
1951	1428	35
1952	1429	34
1953	1429	33
1954	1430	32
