iter	RMSE
0	121.6781449
1	119.3377858
2	117.0540656
3	114.6123343
4	113.0420502
5	111.3527102
6	109.6412351
7	108.2268154
8	107.1707539
9	106.0288826
10	105.1131797
11	104.3132341
12	103.6623217
13	102.7507571
14	102.06281
15	101.4814004
16	101.09349
17	100.5813367
18	100.0506651
19	99.53340569
20	99.15022838
21	98.60912344
22	98.20216865
23	97.47471237
24	97.03564568
25	96.71220499
26	96.27651968
27	95.94045628
28	95.41778823
29	94.82737999
30	94.52986101
31	94.39676151
32	93.9929266
33	93.75469393
34	93.2556273
35	92.86588048
36	92.57634398
37	92.17579473
38	91.69733029
39	91.58571452
40	91.45026901
41	91.32386494
42	91.20920362
43	91.06481224
44	90.77557955
45	90.75694313
46	90.6352455
47	90.36323059
48	90.25687672
49	89.65804714
50	89.45209377
51	89.3428763
52	89.16322785
53	89.00327821
54	88.76693572
55	88.5637704
56	88.15130949
57	88.01147149
58	87.73210041
59	87.60466947
60	87.59101455
61	87.48975427
62	87.4186196
63	87.27023994
64	87.18422804
65	87.05866527
66	86.92831093
67	86.74872573
68	86.63202615
69	86.55407241
70	86.4089872
71	86.33911207
72	86.2138336
73	86.00225739
74	85.77534495
75	85.69007094
76	85.5919868
77	85.4970309
78	85.44222675
79	85.27094313
80	85.227671
81	85.05562599
82	84.76430447
83	84.721538
84	84.66998642
85	84.59258631
86	84.41837144
87	84.27798893
88	84.17024675
89	83.86509377
90	83.7846871
91	83.69564755
92	83.6019955
93	83.40189359
94	83.19868282
95	83.05489112
96	82.7329209
97	82.60881697
98	82.55510842
99	82.40586604
100	82.36512111
101	82.32999628
102	82.21003936
103	82.10502837
104	81.80076783
105	81.75766407
106	81.51893007
107	81.31799463
108	81.09927345
109	81.03577826
110	80.99331081
111	80.88842958
112	80.6968876
113	80.65995749
114	80.4495397
115	80.40349535
116	80.26120198
117	80.20726454
118	80.16985868
119	80.14442994
120	79.98053581
121	79.95957212
122	79.88002319
123	79.62563957
124	79.46427295
125	79.28800836
126	79.14915344
127	79.09238074
128	79.06562754
129	79.00984577
130	78.74796642
131	78.64301262
132	78.49588938
133	78.3543551
134	78.33199993
135	78.31072111
136	78.18583527
137	78.13434379
138	77.94943135
139	77.90786352
140	77.75697659
141	77.64973163
142	77.50629707
143	77.44256359
144	77.30294887
145	77.1732445
146	77.04969653
147	77.02649247
148	76.97901194
149	76.91739574
150	76.89102039
151	76.79677282
152	76.70251778
153	76.68576843
154	76.65001493
155	76.6367429
156	76.61832168
157	76.49623138
158	76.48301709
159	76.31301125
160	76.23042463
161	76.16112128
162	76.14412908
163	75.92732973
164	75.91514701
165	75.90763938
166	75.89653034
167	75.80694621
168	75.70515879
169	75.52214927
170	75.51550836
171	75.47229015
172	75.46047882
173	75.33703905
174	75.21560375
175	75.19466891
176	75.16421579
177	75.10731837
178	74.94944687
179	74.8632693
180	74.77946977
181	74.71456627
182	74.60707809
183	74.58798736
184	74.5168129
185	74.50491767
186	74.47703804
187	74.33000688
188	74.27143279
189	74.25957826
190	74.19121493
191	74.17985269
192	74.10743744
193	74.0823023
194	74.06012419
195	73.92977171
196	73.83715057
197	73.83077602
198	73.82481415
199	73.77506816
200	73.73994241
201	73.71828468
202	73.70941447
203	73.69884379
204	73.69004481
205	73.6836196
206	73.57319301
207	73.53103769
208	73.52288358
209	73.46574101
210	73.41945374
211	73.39019855
212	73.27749843
213	73.25947723
214	73.2469855
215	73.23769142
216	73.23311219
217	73.1460976
218	73.13793412
219	73.13087759
220	73.12319836
221	73.04927458
222	73.04576664
223	72.98508322
224	72.87410272
225	72.7870292
226	72.72898141
227	72.70938073
228	72.56459971
229	72.46206242
230	72.44326449
231	72.3278108
232	72.29092768
233	72.2658412
234	72.25882988
235	72.22439964
236	72.12515079
237	72.0472448
238	72.01471905
239	71.97053346
240	71.93978378
241	71.89549934
242	71.88355801
243	71.7644197
244	71.75609437
245	71.62929889
246	71.53966641
247	71.53400135
248	71.44630472
249	71.40843386
250	71.33346003
251	71.32984836
252	71.20169778
253	71.06151707
254	70.98761316
255	70.98186309
256	70.97406804
257	70.93889519
258	70.89251047
259	70.88927515
260	70.82195464
261	70.79188711
262	70.78520465
263	70.71229031
264	70.68746734
265	70.63734312
266	70.63210915
267	70.57735845
268	70.54162729
269	70.4287141
270	70.41224329
271	70.33965213
272	70.31572655
273	70.28798956
274	70.25808402
275	70.18191244
276	70.15722571
277	70.13049315
278	70.12675611
279	70.10815858
280	70.06844489
281	70.04565496
282	69.97382711
283	69.94753812
284	69.86841874
285	69.84359794
286	69.79532708
287	69.77316063
288	69.68806758
289	69.66031156
290	69.65761826
291	69.57927233
292	69.50676937
293	69.40518621
294	69.38517084
295	69.3806015
296	69.37816235
297	69.37342606
298	69.36677205
299	69.36421584
300	69.27094828
301	69.25024794
302	69.20793045
303	69.1894899
304	69.15013569
305	69.06757808
306	69.04054733
307	69.03616068
308	68.98920549
309	68.92116765
310	68.87138039
311	68.82565453
312	68.81996692
313	68.79283117
314	68.72253229
315	68.66014407
316	68.6469269
317	68.64250231
318	68.63433177
319	68.56582521
320	68.47983965
321	68.39010817
322	68.37405338
323	68.33803282
324	68.30654222
325	68.30337733
326	68.28332395
327	68.17571856
328	68.15823075
329	68.09876796
330	67.93996797
331	67.92517262
332	67.92273835
333	67.91069844
334	67.88528305
335	67.82635682
336	67.8195575
337	67.78840085
338	67.70092911
339	67.6828226
340	67.67968992
341	67.59074812
342	67.53907881
343	67.53288413
344	67.45179539
345	67.44917634
346	67.35610098
347	67.34089868
348	67.33820125
349	67.30203004
350	67.30029536
351	67.2611205
352	67.22642596
353	67.15699627
354	67.13031752
355	67.12843858
356	67.08990674
357	67.0868198
358	66.94859171
359	66.93478416
360	66.93129264
361	66.87470893
362	66.8146715
363	66.74398281
364	66.72953272
365	66.65608924
366	66.64376435
367	66.60705787
368	66.60585743
369	66.5763303
370	66.54847709
371	66.50264164
372	66.48544017
373	66.38736838
374	66.3818011
375	66.34329101
376	66.3080897
377	66.27652478
378	66.24290272
379	66.15580968
380	66.08296518
381	66.01027248
382	65.98496972
383	65.92375377
384	65.89471817
385	65.84365687
386	65.79404905
387	65.77684431
388	65.65142844
389	65.6359505
390	65.60660754
391	65.53493903
392	65.50099564
393	65.4888768
394	65.45381738
395	65.43115651
396	65.41498226
397	65.40040665
398	65.36045919
399	65.3591538
400	65.29995152
401	65.28222641
402	65.21386218
403	65.20707178
404	65.20563954
405	65.13565456
406	65.06989157
407	65.05673911
408	64.98815559
409	64.92791117
410	64.92149458
411	64.90344241
412	64.83948289
413	64.78721565
414	64.76778962
415	64.72991807
416	64.66818984
417	64.66633772
418	64.63219635
419	64.56377515
420	64.52118634
421	64.45417125
422	64.42389263
423	64.37339289
424	64.30588835
425	64.28664131
426	64.27245376
427	64.2553845
428	64.23333964
429	64.2066085
430	64.20198172
431	64.18908209
432	64.1778222
433	64.16108432
434	64.14458703
435	64.05425999
436	64.05186293
437	64.01937239
438	64.01492553
439	63.97014498
440	63.93922526
441	63.8773016
442	63.83242025
443	63.79041738
444	63.75367826
445	63.71904356
446	63.69403617
447	63.6650343
